"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","GE201...O.Órgão..prestador..é.também.o.prestador...direto.ou.indireto...dos.serviços.de.abastecimento.de.água.e.esgotamento.sanitário.no.município...Antigo.campo.GE056.","GE202...Há.empresa.com.contrato.de.DELEGAÇÃO..concessão.ou.contrato.de.programa..para.algum.ou.todos.os.serviços.de.limpeza.urbana.do.município...Antigo.campo.GE055.","POP_TOT...População.total.do.município..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município..Fonte..IBGE...Habitantes."
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Não","Não","7547","3398"
"220105","Assunção do Piauí","PI","2002","","","","","7085","2894"
"220105","Assunção do Piauí","PI","1999","","","","","6441","2631"
"220105","Assunção do Piauí","PI","2000","","","","","6933","2832"
"220105","Assunção do Piauí","PI","2013","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Abastecimento de Água","Não","7645","3442"
"220105","Assunção do Piauí","PI","1998","","","","","6402","2615"
"220105","Assunção do Piauí","PI","2010","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","Abastecimento de Água","Não","7503","3378"
"220105","Assunção do Piauí","PI","2004","","","","","7303","2983"
"220105","Assunção do Piauí","PI","2005","","","","","7385","3017"
"220105","Assunção do Piauí","PI","2003","","","","","7155","2923"
"220110","Avelino Lopes","PI","1996","","","","","12641","4039"
"220110","Avelino Lopes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","11840","6525"
"220110","Avelino Lopes","PI","1998","","","","","9274","2963"
"220110","Avelino Lopes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","10497","5582"
"220110","Avelino Lopes","PI","1995","","","","","12570","4016"
"220110","Avelino Lopes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9853","5239"
"220110","Avelino Lopes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","12039","6634"
"220110","Avelino Lopes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","10373","5516"
"220110","Avelino Lopes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","11067","6714"
"220110","Avelino Lopes","PI","1997","","","","","9144","2922"
"220110","Avelino Lopes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","11164","6773"
"220110","Avelino Lopes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9959","5296"
"220110","Avelino Lopes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","11507","6341"
"220110","Avelino Lopes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9402","3004"
"220110","Avelino Lopes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","Não","Não","10620","5647"
"220110","Avelino Lopes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","Não","Não","11390","6910"
"220110","Avelino Lopes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9625","5118"
"220110","Avelino Lopes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","Abastecimento de Água","Não","11433","6936"
"220110","Avelino Lopes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","Não","Não","11258","6830"
"220110","Avelino Lopes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","11341","6880"
"220110","Avelino Lopes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","9745","5182"
"220155","Bela Vista do Piauí","PI","2015","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","Abastecimento de Água","Não","3919","1289"
"220155","Bela Vista do Piauí","PI","1999","","","","","3102","794"
"220155","Bela Vista do Piauí","PI","2002","","","","","2935","751"
"220155","Bela Vista do Piauí","PI","2014","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","Abast Água e Esg Sanitário","Não","3902","1284"
"220155","Bela Vista do Piauí","PI","2012","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","Abastecimento de Água","Não","3854","1268"
"220155","Bela Vista do Piauí","PI","2000","","","","","2963","758"
"220155","Bela Vista do Piauí","PI","2007","","","","","3344","1143"
"220155","Bela Vista do Piauí","PI","2001","","","","","2942","753"
"220155","Bela Vista do Piauí","PI","2013","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","Abastecimento de Água","Não","3882","1277"
"220155","Bela Vista do Piauí","PI","2009","","","","","3762","1286"
"220155","Bela Vista do Piauí","PI","2010","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","Abastecimento de Água","Não","3778","1243"
"220155","Bela Vista do Piauí","PI","1997","","","","","3097","792"
"220155","Bela Vista do Piauí","PI","2005","","","","","2881","737"
"220155","Bela Vista do Piauí","PI","2008","","","","","3441","1176"
"220155","Bela Vista do Piauí","PI","1998","","","","","3099","793"
"220155","Bela Vista do Piauí","PI","2011","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","Abastecimento de Água","Não","3817","1256"
"220155","Bela Vista do Piauí","PI","2003","","","","","2923","748"
"220155","Bela Vista do Piauí","PI","2004","","","","","2896","741"
"220155","Bela Vista do Piauí","PI","2006","","","","","2866","733"
"220157","Belém do Piauí","PI","2014","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Água; Res Sólidos","Esgotamento Sanitário","Não","3440","1679"
"220157","Belém do Piauí","PI","2002","","","","","2447","886"
"220157","Belém do Piauí","PI","2004","","","","","2473","895"
"220157","Belém do Piauí","PI","2000","","","","","2429","879"
"220157","Belém do Piauí","PI","2007","","","","","2788","1286"
"220157","Belém do Piauí","PI","2010","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP","Água","","","3284","1603"
"220157","Belém do Piauí","PI","2006","","","","","2492","902"
"220157","Belém do Piauí","PI","2008","","","","","2869","1323"
"220157","Belém do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Res Sólidos","Não","Não","3413","1666"
"220157","Belém do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","3464","1691"
"220157","Belém do Piauí","PI","1998","","","","","2330","843"
"220157","Belém do Piauí","PI","2003","","","","","2455","888"
"220157","Belém do Piauí","PI","1999","","","","","2324","841"
"220157","Belém do Piauí","PI","2001","","","","","2439","883"
"220157","Belém do Piauí","PI","1997","","","","","2336","845"
"220157","Belém do Piauí","PI","2011","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água; Água","","","3337","1629"
"220157","Belém do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","3388","1654"
"220157","Belém do Piauí","PI","2005","","","","","2482","898"
"220157","Belém do Piauí","PI","2009","","","","","2912","1343"
"220170","Bertolínia","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","4951","3422"
"220170","Bertolínia","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5402","3955"
"220170","Bertolínia","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5396","3950"
"220170","Bertolínia","PI","1995","","","","","9152","3864"
"220170","Bertolínia","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5050","3491"
"220170","Bertolínia","PI","1997","","","","","5184","2189"
"220170","Bertolínia","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","4841","3346"
"220170","Bertolínia","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5302","3837"
"220170","Bertolínia","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5037","2127"
"220170","Bertolínia","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5004","3459"
"220170","Bertolínia","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5117","3537"
"220170","Bertolínia","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5389","3945"
"220170","Bertolínia","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","5335","3906"
"220170","Bertolínia","PI","1998","","","","","5109","2157"
"220170","Bertolínia","PI","1996","","","","","8155","3443"
