"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","FN201...A.Prefeitura.cobra.pelos.serviços.de.coleta.regular..transporte.e.destinação.final.de.RSU..Antigo.campo.GE012...Sim.Não.","FN202...Forma.adotada..Antigo.campo.GE013.","FN203...Descrição.da.outra.forma.adotada..Antigo.campo.DESC_OUT_FORM_COBR.","FN204...Unidade.adotada.para.a.cobrança..no.caso.de.tarifa.","FN205...A.prefeitura.cobra.pela.prestação.de.serviços.especiais.ou.eventuais.de.manejo.de.RSU...Antigo.campo.GE014...Sim.Não.","FN206...Despesas.dos.agentes.públicos.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO132...R..ano.","FN207...Despesa.com.agentes.privados.para.execução.do.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO011...R..ano.","FN208...Despesa.total.com.o.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO009...R..ano.","FN209...Despesa.com.agentes.públicos.com.a.coleta.de.RSS..Antigo.campo.RS032...R..ano.","FN210...Despesa.com.empresas.contratadas.para.coleta.de.RSS..Antigo.campo.RS033...R..ano.","FN211...Despesa.total.com.a.coleta.de.RSS..Antigo.campo.RS035...R..ano.","FN212...Despesa.dos.agentes.públicos.com.o.serviço.de.varrição..Antigo.campo.VA037...R..ano.","FN213...Despesa.com.empresas.contratadas.para.o.serviço.de.varrição..Antigo.campo.VA019...R..ano.","FN214...Despesa.total.com.o.serviço.de.varrição..Antigo.campo.VA017...R..ano.","FN215...Despesa.com.agentes.públicos.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE043...R..ano.","FN216...Despesa.com.agentes.privados.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE044...R..ano.","FN217...Despesa.total.com.todos.os.agentes.executores.dos.demais.serviços.quando.não.especificados.em.campos.próprios..Antigo.campo.GE046...R..ano.","FN218...Despesa.dos.agentes.públicos.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE023...R..ano.","FN219...Despesa.com.agentes.privados.executores.de.serviços.de.manejo.de.RSU..Antigo.campo.GE009...R..ano.","FN220...Despesa.total.com.serviços.de.manejo.de.RSU..Antigo.campo.GE007...R..ano.","FN221...Receita.orçada.com.a.cobrança.de.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE005...R..ano.","FN222...Receita.arrecadada.com.taxas.e.tarifas.referentes.à.gestão.e.manejo.de.RSU..Antigo.campo.GE006...R..ano.","FN223...Despesa.Corrente.da.Prefeitura.durante.o.ano.com.TODOS.os.serviços.do.município..saúde..educação..pagamento.de.pessoal..etc...Antigo.campo.GE010...R..ano.","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..x","FN224...A.Prefeitura.recebeu.algum.recurso.federal.para.aplicação.no.setor.de.manejo.de.RSU...Antigo.campo.GE025...Sim.Não..y","FN225...Valor.repassado..Antigo.campo.GE026...R..ano.","FN226...Tipo.de.recurso..Antigo.campo.GE028."
"220025","Alagoinha do Piauí","PI","1995","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,"179400","Não","Não",,""
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","","","","Não","0","95040","95040","0","24561.36","24561.36","0","0","0","0","0","0","0","119601.36","119601.36",,,"2894532.91","Não","Não",,""
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Não","","","","Não","21720","1000","22720","50000","0","50000","50000","0","50000","0","0","0","121720","1000","122720",,,"12272000","Não","Não",,""
"220027","Alegrete do Piauí","PI","1995","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2002","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2003","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2000","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"Não","Não",,""
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2001","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","1996","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","1999","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2012","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","Não","","","","Não","0","150000","150000","0","28900","28900","0","150000","150000","0","0","0","0","328900","328900",,,,"Não","Não",,""
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","Não","","","","Não","70920","0","70920","0","14184","14184","0","430398.4","430398.4","9456","0","9456","80376","444582.4","524958.4",,,"11985981.66","Não","Não",,""
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2000","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2005","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2002","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2003","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","1999","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Sim","0","51758","51758","0","0","0","0","68302","68302","0","0","0","0","120060","120060",,,"7484117.53","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não","0","48342","48342","0","2575","2575","0","64583","64583","0","0","0","0","115500","115500","0",,"4025116.51","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não",,"51757.56",,,"68301.6",,,,,,,,"0","120059.16","120059.16","0","0","5789273.4","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não","0","24300","24300",,,,"0","16170","16170","8100","66930","75030","8100","107400","115500","0",,"5075245.5","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","Não","","","","Não","0","32400","32400","0","2775","2775","0","7325","7325","4560","0","4560","4560","42500","47060",,,"3737804.46","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","","0","51758","51758","0","0","0","0","68302","68302","0","0","0","0","120060","120060","0","0","7484117.53","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Não","0","330982.83","330982.83","0","0","0","0","28786.91","28786.91","0","0","0","0","359769.74","359769.74",,,"12850240.86","Não","Não",,""
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Não","","","","Sim","0","92126.3","92126.3","0","0","0","0","69811.3","69811.3","0","0","0","0","161937.6","161937.6",,,"8758378.94","Sim","Sim","122000","Não oneroso (a fundo perdido)"
"220045","Alvorada do Gurguéia","PI","2001","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","2004","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220045","Alvorada do Gurguéia","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","1995","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","Não","","","","Não","0","146418.79","146418.79","0","16268.76","16268.76","0","138379.11","138379.11","0","98300","98300","0","399366.66","399366.66",,,"6034418.44","Não","Não",,""
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","1996","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","1996","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","1995","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","1997","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","1998","","","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","","","","",,,,,,,,,,,,,,,,,,,"","",,""
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos","Não","","","","Não",,,,,,,,,,,,,,,,,,,"Não","Não",,""
