"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_RS...Taxa.de.empregados.em.relação.à.população.urbana..empreg.1000.hab.","IN002_RS...Despesa.média.por.empregado.alocado.nos.serviços.do.manejo.de.rsu..R..empreg.","IN003_RS...Incidência.das.despesas.com.o.manejo.de.rsu.nas.despesas.correntes.da.prefeitura....","IN004_RS...Incidência.das.despesas.com.empresas.contratadas.para.execução.de.serviços.de.manejo.rsu.nas.despesas.com.manejo.de.rsu....","IN005_RS...Auto.suficiência.financeira.da.prefeitura.com.o.manejo.de.rsu....","IN006_RS...Despesa.per.capita.com.manejo.de.rsu.em.relação.à.população.urbana..R..hab.","IN007_RS...Incidência.de.empregados.próprios.no.total.de.empregados.no.manejo.de.rsu....","IN008_RS...Incidência.de.empregados.de.empresas.contratadas.no.total.de.empregados.no.manejo.de.rsu....","IN010_RS...Incidência.de.empregados.gerenciais.e.administrativos.no.total.de.empregados.no.manejo.de.rsu....","IN011_RS...Receita.arrecadada.per.capita.com.taxas.ou.outras.formas.de.cobrança.pela.prestação.de.serviços.de.manejo.rsu..R..habitante.ano."
"220005","Acauã","PI","1997","","",,,,,,,,,,
"220005","Acauã","PI","2001","","",,,,,,,,,,
"220005","Acauã","PI","1998","","",,,,,,,,,,
"220005","Acauã","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220005","Acauã","PI","2004","","",,,,,,,,,,
"220005","Acauã","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","12.62",,,,,,"100","0","5.88",
"220025","Alagoinha do Piauí","PI","1995","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","5.89","7670","1","0.81",,"45.2","93.75","6.25",,
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1996","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","2.21",,,,,,"100","0","0",
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","3.36",,,,,,"0","100","11.11",
"220025","Alagoinha do Piauí","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","2.2","19933.56","4.13","100",,"43.86","0","100","0",
"220025","Alagoinha do Piauí","PI","1997","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","1998","","",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2003","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",,,,"100",,"114.56",,,,
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1999","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2002","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos",,,"4.38","84.69",,"197.35",,,,
"220027","Alegrete do Piauí","PI","2012","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1997","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2001","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1998","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1995","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2000","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1996","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","5.28","16193.76","1.85","100",,"85.46","0","100","0",
"220045","Alvorada do Gurguéia","PI","2004","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos",,,"1.26","90.31",,"31.63",,,,
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","5.18","35976.97","2.8","100",,"186.22","0","100","0",
"220045","Alvorada do Gurguéia","PI","1997","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2002","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2001","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2005","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2000","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","5.34","12006","1.6","100",,"64.1","0","100","0",
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","5.2",,,,,,"0","100","0",
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",,,"2.07","100","0","62.63",,,,"0"
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","5.24",,,,,,"0","100","0",
"220045","Alvorada do Gurguéia","PI","1998","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1999","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2003","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos",,,"2.28","92.99",,"61.31",,,,
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","3.28","19250","2.87","100",,"63.08","0","100","0",
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","4.33","15007.5","1.6","100","0","64.93","0","100","0","0"
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","6.2","13771.26","6.62","100",,"85.33","0","100","3.45",
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1996","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","1995","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1997","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1998","","",,,,,,,,,,
"220090","Aroazes","PI","1995","","",,,,,,,,,,
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1997","","",,,,,,,,,,
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1996","","",,,,,,,,,,
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1998","","",,,,,,,,,,
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos","13.13",,,,,,"100","0",,
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2009","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2006","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2011","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2010","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2005","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2014","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2013","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2012","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2008","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2015","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2007","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2004","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2007","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2008","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2014","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","2.9","18244.8",,"71.43",,"52.85","40","60","0",
"220105","Assunção do Piauí","PI","2015","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","1.73","43800","2.99","100",,"75.95","0","100","0",
"220105","Assunção do Piauí","PI","2006","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2009","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP","Água",,,,,,,,,,
"220105","Assunção do Piauí","PI","1997","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2001","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","7.32","5078.4","0.95","72.48",,"37.16","20","80","8",
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","4.71","14672.5","2.16","66.84",,"69.09","37.5","62.5","6.25",
"220105","Assunção do Piauí","PI","2002","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","1999","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2000","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2013","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",,,"16.4","57.14",,"53.01",,,,
"220105","Assunção do Piauí","PI","1998","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2010","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","6.81","5513.91","2.49","78.28","0","37.54","13.04","86.96","8.7","0"
"220105","Assunção do Piauí","PI","2004","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2005","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2003","","",,,,,,,,,,
"220110","Avelino Lopes","PI","1996","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1998","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1995","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1997","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",,,,"60.11",,"70.71",,,,
"220110","Avelino Lopes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","0.87",,,,,,"100","0","0",
"220110","Avelino Lopes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","1.44","12672","12.67","0",,"18.27","100","0","0",
"220110","Avelino Lopes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","1.46",,,,,,"0","100","0",
"220110","Avelino Lopes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2015","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","6.98",,"2.67",,,,"0","100","0",
"220155","Bela Vista do Piauí","PI","1999","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2002","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2014","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","7.01",,,,,,"0","100","11.11",
"220155","Bela Vista do Piauí","PI","2012","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","7.89",,,,,,"100","0","10",
"220155","Bela Vista do Piauí","PI","2000","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2007","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2001","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2013","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","9.4",,,,,,"0","100","8.33",
"220155","Bela Vista do Piauí","PI","2009","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2010","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos",,,"1.34","0",,"58.29",,,,
"220155","Bela Vista do Piauí","PI","1997","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2005","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2008","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","1998","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2011","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","6.37","15300","2.39","88.24",,"97.45","12.5","87.5","12.5",
"220155","Bela Vista do Piauí","PI","2003","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2004","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2006","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2014","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Água; Res Sólidos",,,,"56.98",,"97.73",,,,
"220157","Belém do Piauí","PI","2002","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2004","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2000","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2007","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2010","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP","Água",,,,,,,,,,
"220157","Belém do Piauí","PI","2006","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2008","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Res Sólidos","10.2","11696.75","2.81","0",,"119.35","64.71","35.29","11.76",
"220157","Belém do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220157","Belém do Piauí","PI","1998","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2003","","",,,,,,,,,,
"220157","Belém do Piauí","PI","1999","","",,,,,,,,,,
