"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água","QD002...Quantidades.de.paralisações.no.sistema.de.distribuição.de.água..Paralisações.ano.","QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.","QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.","QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..","QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.","QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.","QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.","QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..","QD012...Duração.dos.extravasamentos.registrados..Horas.ano.","QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.","QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.","QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.","QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.","QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.","QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.","QD022...Duração.das.interrupções.sistemáticas..Horas.ano.","QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.","QD024...Quantidade.de.serviços.executados..Serviços.ano.","QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.","QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.","QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.","QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.","QD029...Atendimento.integral.da.portaria.518.04"
"220025","Alagoinha do Piauí","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",,,,"8","0","6","0",,,,,,"60","120",,,,,,"10","0","60",
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Atende integralmente","0","0",,"5","0","5","0",,,,,,"60","60","0","0","262","262","3620","5","0","60",
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"3","0","3","0",,,,,,"60","120",,,,,,"3","0","120",
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Atende integralmente",,,,"13","11","13","0",,,,,,"60","60",,,,,,"15","0","60",
"220025","Alagoinha do Piauí","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Atende integralmente","0","0","0","0","0","0","0",,,"0",,,"60","60","0","0","1110","1057",,"0","0","60",
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"7","0","7","0",,,,,,"60","60",,,,,,"5","1","60",
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Atende integralmente","0","0","0","24","1","24","0",,,,,,"60","60","0","0","492","451",,"24","0","60",
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","50","65","90",,,,,,,"0",,,,,"0","0",,,,,,,
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","Atende integralmente","0","0","0","20","4","20","0",,,"0",,,"60","60","0","0","269","248",,"20","0","60",
"220027","Alegrete do Piauí","PI","1995","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","0","0","0","0","0","0","0",,,"0",,,,,"0","0","67","67","101","33","0",,
"220027","Alegrete do Piauí","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2002","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2003","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2000","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","Não atende","0","0","0","0","0","0","0",,,"0",,,,,"0","0","63","63","126","32","0",,
"220027","Alegrete do Piauí","PI","2001","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1996","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","1999","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","0","0","0","0","0","0","0",,,"0",,,,,"0","0","144","144","216","0","0",,
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","Não atende","0","0","0","0","0","0","0",,,"0",,,,,"0","0","51","51","102","24","0",,
"220027","Alegrete do Piauí","PI","2012","","","",,,,,,,,,,,,,,,,,,,,,,,
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","","15","90","700","12","0","12","0",,,"700",,,"12","12","4","48","49","45","90","12","0","12",
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","",,,,,,,,,,,,,,,,,"75","75","150","33",,,
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","","12","86","800","36","0","36","0",,,"800",,,"36","36","4","48","62","55","115","36","0","36",
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","0","0","0","0","0","0","0",,,"0",,,,,"0","0",,,,"0","0",,
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","0","0","0","6","2","6","1",,,"0",,,"6","6","0","0","62","62","95","40","8","40",
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água","","0","0","0","0","0","0","0",,,"0",,,,,"0","0",,,,"0","0",,
"220045","Alvorada do Gurguéia","PI","2000","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2005","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2002","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2003","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1999","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","2","54","217","100","11","100","11",,,"0",,,"100","100","0","0","21","19","20","100","11","100",
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","4","30","750","120","8","120","8",,,"0",,,"120","120","0","0","42","36","36","100","18","100",
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Atende parcialmente","0","0","0","120","5","120","5",,,"0",,,"120","120","0","0",,,,"120","4","120",
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","0","0","0","120","5","120","5",,,"0",,,"120","120","0","0",,,,"120","5","120",
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","3","28","980","120","8","120","8",,,"980",,,"120","120","1","4","37","37","36","100","18","100",
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","Atende parcialmente","0","0","0","120","5","120","5",,,"0",,,"120","120","0","0",,,,"120","5","120",
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","","0","0","0","120","3","120","3","0","0","0",,,"120","120","0","0","0","0","0","120","3","120",
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","2","54","217","100","11","100","11",,,"0",,,"100","100","0","0","21","19","20","100","11","100",
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","4","37","1020","120","8","120","8",,,"1020",,,"120","120","2","2","44","44","36","100","18","100",
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","","3","28","412","100","6","100","10",,,"0",,,"100","100","0","0","45","38","35","100","14","100",
"220045","Alvorada do Gurguéia","PI","2001","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2004","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",,,,"32","0","32","7",,,,,,"120","120",,,,,,"19","1","60",
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0",,"26","0","26","0",,,,,,"120","120","0","0","659","659","47871","26","0","120",
"220070","Anísio de Abreu","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"16","0","5","0",,,,,,"60","60",,,,,,"11","0","60",
"220070","Anísio de Abreu","PI","1995","","","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","0","0","0","9","0","9","0",,,"0",,,"60","120","0","0","0","0","0","9","0","120",
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","Atende integralmente","0","0","0","18","4","18","2",,,"0",,,"120","120","0","0","2006","1220",,"18","2","120",
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","66","70","333",,,,,,,"0",,,,,"0","0",,,,,,,
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","44","0","35","1",,,,,,"120","120","0","0","1894","1423",,"44","0","120",
"220070","Anísio de Abreu","PI","1996","","","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",,,,"9","0","9","0",,,,,,"60","120",,,,,,"13","0","60",
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"9","0","9","0",,,,,,"60","120",,,,,,"11","0","120",
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","33","0","33","12",,,"0",,,"120","120","0","0","1998","1695",,"33","1","120",
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0",,"15","0","15","0",,,,,,"60","60","0","0","530","530","15043","15","3","60",
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","70","72","264","0",,"0","0",,,"0",,,"60","60","0","0",,,,"0","0","120",
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","0","0","0","0",,,"0",,,"60","60","0","0","464","378",,"0","0","60",
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","24","4","24","0",,,"0",,,"60","60","0","0","670","603",,"24","2","60",
"220090","Aroazes","PI","1996","","","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","27","10","27","0",,,,,,"60","60","0","0","802","717",,"27","6","60",
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente",,,,"9","6","9","0",,,,,,"60","60",,,,,,"14","4","60",
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","1995","","","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","","0","0","0","0","0","0","0",,,"0",,,"60","60","0","0",,,,"0","0","120",
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"15","0","9","0",,,,,,"60","120",,,,,,"15","0","120",
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende integralmente","0","0","0","6","2","6","0",,,"0",,,"60","144","0","0","0","0","0","6","0","60",
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,"10","0",,
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","",,,,,,,,,,,,,,,,,,,,,,,
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","Atende parcialmente",,,,"18","4","18","1",,,,,,"60","60",,,,,,"16","0","60",
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos","Atende integralmente",,,,"6","2","6","0",,,,,,"60","144",,,,,,"15","0","60",
"220095","Aroeiras do Itaim","PI","2012","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2007","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2013","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2009","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2011","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2014","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2006","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2010","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2008","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2005","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2004","","","",,,,,,,,,,,,,,,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2015","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2003","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","1999","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2010","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","","5","50",,"8","3","8","3",,,"0",,,"12","12","0","0",,,,"8","3","12",
"220105","Assunção do Piauí","PI","1997","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2005","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","","25","150","8000","30","3","8","5",,,"0",,,"112","130","0","0","230","230","450","15","5","115",
"220105","Assunção do Piauí","PI","2004","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2008","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","1998","","","",,,,,,,,,,,,,,,,,,,,,,,
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","","3","36",,"8","3","8","3",,,"0",,,"12","12","0","0","20","20","36","8","3","12",
