"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN071_AE...Economias.atingidas.por.paralisações..econ.paralis.","IN072_AE...Duração.média.das.paralisações..horas.paralis.","IN073_AE...Economias.atingidas.por.intermitências..econ.interrup.","IN074_AE...Duração.média.das.intermitências..horas.interrup.","IN075_AE...Incidência.das.análises.de.cloro.residual.fora.do.padrão..percentual.","IN076_AE...Incidência.das.análises.de.turbidez.fora.do.padrão..percentual.","IN077_AE...Duração.média.dos.reparos.de.extravasamentos.de.esgotos..horas.extrav.","IN079_AE...Índice.de.conformidade.da.quantidade.de.amostras...cloro.residual..percentual.","IN080_AE...Índice.de.conformidade.da.quantidade.de.amostras...turbidez..percentual.","IN082_AE...Extravasamentos.de.esgotos.por.extensão.de.rede..extrav.Km.","IN083_AE...Duração.média.dos.serviços.executados..hora.serviço.","IN084_AE...Incidência.das.análises.de.coliformes.totais.fora.do.padrão..percentual.","IN085_AE...Índice.de.conformidade.da.quantidade.de.amostras...coliformes.totais..percentual."
"220105","Assunção do Piauí","PI","2013","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","400","8.6",,,"100","7.14",,"100","100",,"5","53.57","100"
"220105","Assunção do Piauí","PI","2009","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP","Água",,,,,"37.5","37.5",,"66.67","66.67",,,"37.5","66.67"
"220105","Assunção do Piauí","PI","2015","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos",,"1.84",,,"100","100",,"100","100",,"4.5","100","100"
"220105","Assunção do Piauí","PI","2002","","",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","1996","","",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"1.39","2.7",,"60","30.83",,,"0","60"
"220110","Avelino Lopes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","6","0.96",,,,,,,,,,,
"220110","Avelino Lopes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"22.22","11.76",,"10.71","14.17",,,"0","25.83"
"220110","Avelino Lopes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"8","8",,"14.88","20.83",,,"4","14.88"
"220110","Avelino Lopes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"22.22","11.76",,"10.71","14.17",,,,
"220110","Avelino Lopes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",,,,,"12.5","8.33",,"20","20",,,"4.17","20"
"220110","Avelino Lopes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,"0","43.33",,"25","25",,,"10","25"
"220110","Avelino Lopes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",,,,,"0","0",,"33.33","33.33",,,"0","33.33"
"220110","Avelino Lopes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","34","3.75",,,"0","15.38",,"10.83","10.83",,,"16.33","81.67"
"220110","Avelino Lopes","PI","1998","","",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",,,,,"0","22.5",,"33.33","33.33",,"11.91","5","33.33"
"220110","Avelino Lopes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","1997","","",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","1995","","",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220110","Avelino Lopes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2012","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos",,"13",,"10","10","0",,"100","100",,,"0","100"
"220155","Bela Vista do Piauí","PI","2009","","",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2011","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos",,"13",,"10","8.33","0",,"100","100",,,"4.17","100"
"220155","Bela Vista do Piauí","PI","2001","","",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","1999","","",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","1997","","",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","1998","","",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2013","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2015","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos",,,,,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2014","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos",,"6",,"0.5","0","0",,"100","100",,,"0","100"
"220155","Bela Vista do Piauí","PI","2008","","",,,,,,,,,,,,,
