"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN041_RS...Taxa.de.terceirização.dos.varredores....","IN042_RS...Taxa.de.terceirização.da.extensão.varrida....","IN043_RS...Custo.unitário.médio.do.serviço.de.varrição..prefeitura...empresas.contratadas...R..Km.","IN044_RS...Produtividade.média.dos.varredores..prefeitura...empresas.contratadas...Km.empreg.dia.","IN045_RS...Taxa.de.varredores.em.relação.à.população.urbana..empreg.1000.hab.","IN046_RS...Incidência.do.custo.do.serviço.de.varrição.no.custo.total.com.manejo.de.rsu....","IN047_RS...Incidência.de.varredores.no.total.de.empregados.no.manejo.de.rsu....","IN048_RS...Extensão.total.anual.varrida.per.capita..Km.habitante.ano.","IN051_RS...Taxa.de.capinadores.em.relação.à.população.urbana..empreg.1000.hab.","IN052_RS...Incidência.de.capinadores.no.total.empregados.no.manejo.de.rsu...."
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2003","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","100",,,,"3.48","45.61","55.56",,"0","0"
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1999","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2002","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos","0",,,,"3.49",,"66.67",,"0","0"
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","100",,,,"2.63","81.99","46.67",,"0.75","13.33"
"220027","Alegrete do Piauí","PI","2012","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1997","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2001","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1998","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1995","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2000","","",,,,,,,,,,
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,
"220027","Alegrete do Piauí","PI","1996","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100","135.03","0.55","1.58","43.11","30","0.27","1.06","20"
"220045","Alvorada do Gurguéia","PI","2004","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","100","100","61.04","0.19","1.34","15.57","25",,"1.34","25"
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100",,,,"1.55","8","30",,"1.04","20"
"220045","Alvorada do Gurguéia","PI","1997","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2002","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2001","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2005","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2000","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100","136.06","0.53","1.6","56.89","30","0.27","1.07","20"
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100",,,,"1.56",,"30",,"1.04","20"
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100",,"0.07","1.04",,"25","0.02","1.04","25"
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100",,,,"1.57",,"30",,"1.05","20"
"220045","Alvorada do Gurguéia","PI","1998","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","1999","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2003","","",,,,,,,,,,
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100","56.15","0.46","1.06","14","25",,"1.06","25"
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100","179.4","0.58","1.09","55.92","33.33",,"1.09","33.33"
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","100","100","138.83","0.52","1.62","56.89","37.5","0.27","1.08","25"
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","100","100","48.05","0.77","2.56","34.65","41.38","0.62","1.28","20.69"
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1996","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","1995","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1997","","",,,,,,,,,,
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220070","Anísio de Abreu","PI","1998","","",,,,,,,,,,
"220090","Aroazes","PI","1995","","",,,,,,,,,,
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1997","","",,,,,,,,,,
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1996","","",,,,,,,,,,
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","1998","","",,,,,,,,,,
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos",,"0",,,,,,"0.14",,
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2009","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2006","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2011","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2010","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2005","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2014","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2013","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2012","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2008","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2015","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2007","","",,,,,,,,,,
"220095","Aroeiras do Itaim","PI","2004","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2007","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2008","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2014","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","42.86",,,,"2.03","50","70",,"0","0"
"220105","Assunção do Piauí","PI","2015","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","100",,,,"1.16","0","66.67",,"0","0"
"220105","Assunção do Piauí","PI","2006","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2009","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP","Água",,,,,,,,,,
"220105","Assunção do Piauí","PI","1997","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2001","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2012","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","60",,,,"2.93","65.97","40",,"0.88","12"
"220105","Assunção do Piauí","PI","2011","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","66.67",,,,"1.77","33.43","37.5",,"0.59","12.5"
"220105","Assunção do Piauí","PI","2002","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","1999","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2000","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2013","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","0",,,,"1.74","42.86","42.86",,"0","0"
"220105","Assunção do Piauí","PI","1998","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2010","[22010511] Prefeitura Municipal de Assunção do Piauí - PMAP; [22010540] SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO - SAPLAN","Água; Res Sólidos","66.67","80","8262","0","2.66","65.15","39.13","0","0","0"
"220105","Assunção do Piauí","PI","2004","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2005","","",,,,,,,,,,
"220105","Assunção do Piauí","PI","2003","","",,,,,,,,,,
"220110","Avelino Lopes","PI","1996","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1998","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1995","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1997","","",,,,,,,,,,
"220110","Avelino Lopes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","0","0",,"0.55","0.71",,"22.22",,"0","0"
"220110","Avelino Lopes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","0",,,,"0.29",,"33.33",,"0.14","16.67"
"220110","Avelino Lopes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos","0",,,,"0.58","16.67","40",,"0.29","20"
"220110","Avelino Lopes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22011040] PREFEITURA MUNICIPAL DE AVELINO LOPES - PMAL","Água; Res Sólidos",,,,,"0",,"0",,"0","0"
"220110","Avelino Lopes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220110","Avelino Lopes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2015","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","100",,,,"2.33",,"33.33",,"0.78","11.11"
"220155","Bela Vista do Piauí","PI","1999","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2002","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2014","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","100",,,,"2.34",,"33.33",,"0.78","11.11"
"220155","Bela Vista do Piauí","PI","2012","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","0",,,,"1.58",,"20",,"1.58","20"
"220155","Bela Vista do Piauí","PI","2000","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2007","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2001","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2013","[22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Res Sólidos","100",,,,"3.13",,"33.33",,"1.57","16.67"
"220155","Bela Vista do Piauí","PI","2009","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2010","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos",,"0","50.95",,,"28.13",,"0.32",,
"220155","Bela Vista do Piauí","PI","1997","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2005","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2008","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","1998","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2011","[22015511] Prefeitura Municipal de Bela Vista do Piauí - PMBVP; [22015540] PREFEITURA MUNICIPAL DE BELA VISTA DO PIAUI - PM","Água; Res Sólidos","100",,,,"1.59","28.9","25",,"0.8","12.5"
"220155","Bela Vista do Piauí","PI","2003","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2004","","",,,,,,,,,,
"220155","Bela Vista do Piauí","PI","2006","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2014","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP; [22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Água; Res Sólidos","0",,,,"2.38","43.02","50",,"0","0"
"220157","Belém do Piauí","PI","2002","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2004","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2000","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2007","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2010","[22015711] Prefeitura Municipal de Belém do Piauí - PMBP","Água",,,,,,,,,,
"220157","Belém do Piauí","PI","2006","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2008","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22015740] PREFEITURA MUNICIPAL DE BELEM DO PIAUI - PMBP","Água; Res Sólidos",,,,,"0","40","0",,"6","58.82"
"220157","Belém do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,
"220157","Belém do Piauí","PI","1998","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2003","","",,,,,,,,,,
"220157","Belém do Piauí","PI","1999","","",,,,,,,,,,
"220157","Belém do Piauí","PI","2001","","",,,,,,,,,,
"220157","Belém do Piauí","PI","1997","","",,,,,,,,,,
